Species	Family	Order	Class	Body.mass	Flying	Diet	Method.category.mass	Method.category.flying	Method.category.diet	Surrogate.used.mass	Surrogate.name.mass	Surrogate.name.diet	Diet.by.whom	Source.bodymass	Source.flying	Source.diet
Moho bishopi	Mohoidae	Passeriformes	Aves	106.35	1	1	Surrogate	Morphology	Estimate	1	Anthochaera carunculata		Heinen	"Higgins, P., Christidis, L. & Ford, H. (2016). Red Wattlebird (Anthochaera carunculata). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/node/60325 on 10 February 2016); Fleischer, R. C., James, H. F., & Olson, S. L. (2008). Convergent evolution of Hawaiian and Australo-Pacific honeyeaters from distant songbird ancestors. Current Biology, 18(24), 1927-1931."	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Moho braccatus	Mohoidae	Passeriformes	Aves	45	1	1	Surrogate	Morphology	Database	1	Pycnopygius cinereus		Kissling	"Fleischer, R. C., James, H. F., & Olson, S. L. (2008). Convergent evolution of Hawaiian and Australo-Pacific honeyeaters from distant songbird ancestors. Current Biology, 18(24), 1927-1931.; Higgins, P., Christidis, L. & Ford, H. (2017). Marbled Honeyeater (Pycnopygius cinereus). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/node/60263 on 15 September 2017)."	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Monticola solitarius	Muscicapidae	Passeriformes	Aves	53.75	1	1	Database	Morphology	Estimate	0			Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Myadestes lanaiensis	Turdidae	Passeriformes	Aves	34.7075	1	3	Genus mean, decided by pe-existing database	Morphology	Database	1	"Genus mean ""Myadestes"""		Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Myadestes myadestinus	Turdidae	Passeriformes	Aves	50.5	1	3	Surrogate	Morphology	Database	1	Myadestes obscurus		Kissling	Collar, N. (2016). Omao (Myadestes obscurus). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/node/58234 on 17 February 2016).	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Myadestes palmeri	Turdidae	Passeriformes	Aves	39.6	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Myadestes woahensis	Turdidae	Passeriformes	Aves	45.25	1	1	Surrogate	Morphology	Estimate	1	Myadestes obscurus, Myadestes palmeri		Heinen	Collar, N. (2016). Omao (Myadestes obscurus). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/node/58234 on 17 February 2016)	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Myiarchus magnirostris	Tyrannidae	Passeriformes	Aves	14.7	1	1	Database	Morphology	Estimate	0			Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Necropsar rodericanus	Sturnidae	Passeriformes	Aves	69.2	1	1	Surrogate	Morphology	Estimate	1	Cinclocerthia gutturalis		Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Necropsittacus borbonicus	Psittacidae	Psittaciformes	Aves	325	1	1	Surrogate	Morphology	Surrogate + Database	1	Tanygnathus megalorynchos	Necropsittacus rodericanus	Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Necropsittacus rodericanus	Psittacidae	Psittaciformes	Aves	325	1	1	Surrogate	Morphology	Database	1	Tanygnathus megalorynchos		Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Nesoenas duboisi	Columbidae	Columbiformes	Aves	303	1	1	Surrogate	Morphology	Surrogate + Database	1	Nesoenas mayeri	Nesoenas picturata	Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Nesoenas mayeri	Columbidae	Columbiformes	Aves	303	1	2	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Nesoenas rodericana	Columbidae	Columbiformes	Aves	303	1	1	Surrogate	Morphology	Surrogate + Database	1	Nesoenas mayeri	Nesoenas picturata	Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Nesomimus melanotis	Mimidae	Passeriformes	Aves	50.6	1	1	Database	Morphology	Estimate	0			Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Nesomimus parvulus	Mimidae	Passeriformes	Aves	53.7	1	1	Database	Morphology	Estimate	0			Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Nesoryzomys darwini	Cricetidae	Rodentia	Mammalia	32.5	0	1	Surrogate	Morphology	Estimate	1	Nesoryzomys fernandinae		Heinen	"Dowler, R. C., Carroll, D. S., & Edwards, C. W. (2000). Rediscovery of rodents (Genus Nesoryzomys) considered extinct in the Galapagos Islands. Oryx, 34(2), 109-118.; Harris, D. B., & Macdonald, D. W. (2007). Population ecology of the endemic rodent Nesoryzomys swarthi in the tropical desert of the Galapagos Islands. Journal of Mammalogy, 88(1), 208-219."	Various images	Dowler, R. C., Carroll, D. S., & Edwards, C. W. (2000). Rediscovery of rodents (Genus Nesoryzomys) considered extinct in the Galapagos Islands. Oryx, 34(2), 109-118.
Nesoryzomys fernandinae	Cricetidae	Rodentia	Mammalia	32.5	0	1	Database	Morphology	Database	0			Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Nesoryzomys indefessus	Cricetidae	Rodentia	Mammalia	102.95	0	1	Surrogate	Morphology	Estimate	1	Nesoryzomys swarti, Nesoryzomys narboroughi		Heinen	Dowler, R. C., Carroll, D. S., & Edwards, C. W. (2000). Rediscovery of rodents (Genus Nesoryzomys) considered extinct in the Galapagos Islands. Oryx, 34(2), 109-118.	Various images	Dowler, R. C., Carroll, D. S., & Edwards, C. W. (2000). Rediscovery of rodents (Genus Nesoryzomys) considered extinct in the Galapagos Islands. Oryx, 34(2), 109-118.
Nesoryzomys narboroughi	Cricetidae	Rodentia	Mammalia	102.95	0	1	Surrogate	Morphology	Estimate	1	Nesoryzomys swarti, Nesoryzomys indefessus		Heinen	Dowler, R. C., Carroll, D. S., & Edwards, C. W. (2000). Rediscovery of rodents (Genus Nesoryzomys) considered extinct in the Galapagos Islands. Oryx, 34(2), 109-118.	Various images	Dowler, R. C., Carroll, D. S., & Edwards, C. W. (2000). Rediscovery of rodents (Genus Nesoryzomys) considered extinct in the Galapagos Islands. Oryx, 34(2), 109-118.
Nesoryzomys swarti	Cricetidae	Rodentia	Mammalia	102.95	0	1	Surrogate	Morphology	Literature	1	Nesoryzomys narbororoughi		Heinen	Dowler, R. C., Carroll, D. S., & Edwards, C. W. (2000). Rediscovery of rodents (Genus Nesoryzomys) considered extinct in the Galapagos Islands. Oryx, 34(2), 109-118.	Various images	Arkive (http://www.arkive.org/santiago-galapagos-mouse/nesoryzomys-swarthi/#ref2 access date 25-2-2017)
Notopteris macdonaldi	Pteropodidae	Chiroptera	Mammalia	65.14	1	3	Database	Morphology	Database	0			Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Nyctimene albiventer	Pteropodidae	Chiroptera	Mammalia	29.875	1	3	Database	Morphology	Database	0			Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Nyctimene major	Pteropodidae	Chiroptera	Mammalia	104.153	1	3	Database	Morphology	Database	0			Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Nyctimene malaitensis	Pteropodidae	Chiroptera	Mammalia	75.388	1	3	Database	Morphology	Database	0			Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Nyctimene vizcaccia	Pteropodidae	Chiroptera	Mammalia	40	1	3	Database	Morphology	Database	0			Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Oligosoma lineoocellatum	Scincidae	Squamata	Reptilia	26.51	0	2	Surrogate	Morphology	Literature	1	Oligosoma fallai		Hansen	"Spencer, N. J., et al. ""Diet and life history variation in the sympatric lizards Oligosoma nigriplantare polychroma and Oligosoma lineoocellatum."" New Zealand journal of zoology 25.4 (1998): 457-463.; Pough, F. H. (1980). The advantages of ectothermy for tetrapods. American Naturalist, 92-112.; Meiri, S. (2010). Length–weight allometries in lizards. Journal of Zoology, 281(3), 218-226."	Various images	7, 8
Oplurus cuvieri	Opluridae	Squamata	Reptilia	117.7	0	1	Database	Morphology	Literature	0			Heinen	"Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	28
Orthiospiza howarthi	Fringillidae	Passeriformes	Aves	46.62	1	2	Surrogate	Morphology	Estimate + Literature	1	Telespiza cantans		Heinen	"James, H. F., & Olson, S. L. (1991). Descriptions of thirty-two new species of birds from the Hawaiian Islands: Part II. Passeriformes. Ornithological Monographs, (46), 1-88.; Pratt, D. & de Juana, E. (2017). Laysan Finch (Telespiza cantans). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/node/61433 on 15 September 2017)."	Various images	James, H. F., & Olson, S. L. (1991). Descriptions of thirty-two new species of birds from the Hawaiian Islands: Part II. Passeriformes. Ornithological Monographs, (46), 1-88.
Pachycephala pectoralis	Pachycephalidae	Passeriformes	Aves	31.34166667	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Palmeria dolei	Fringillidae	Passeriformes	Aves	26.2	1	1	Database	Morphology	Estimate	0			Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Parula pitiayumi	Parulidae	Passeriformes	Aves	6.833333333	1	1	Database	Morphology	Estimate	0			Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Parus teneriffae	Paridae	Passeriformes	Aves	10	1	1	Literature	Morphology	Surrogate + Database	0		Parus hypermelaenus	Heinen	Gosler, A. & Clement, P. (2017). African Blue Tit (Cyanistes teneriffae). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/node/59910 on 15 September 2017).	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Passer domesticus	Passeridae	Passeriformes	Aves	26.56666667	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Pezohaps solitaria	Columbidae	Columbiformes	Aves	22500	0	2	Estimate	Literature	Estimate + Literature	0			Heinen	Livezey, B.C. (2009). An ecomorphological review of the dodo (Raphus cucullatus) and solitaire (Pezophaps solitaria), flightless Columbiformes of the Mascarene Islands. Journal of Zoology, 2, 247-292.	Shapiro, B., Sibthorpe, D., Rambaut, A., Austin, J., Wragg, G. M., Bininda-Emonds, O. R., ... & Cooper, A. (2002). Flight of the dodo. Science, 295(5560), 1683-1683.	"Rothschild, W. (1907). Extinct Birds. London: Hutchinson & Co.; Fuller, E. (2001). Extinct Birds (revised ed.). New York: Comstock. ISBN 978-0-8014-3954-4.; Leguat, F. (1721). Voyages et avantures de François Leguat et de ses compagnons en deux isles désertes des Indes orientales."
Phaps elegans	Columbidae	Columbiformes	Aves	211.5	1	1	Database	Morphology	Estimate	0			Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Phelsuma borbonica	Gekkonidae	Squamata	Reptilia	9.75987912	0	1	Calculation	Morphology	Literature	0			Hansen	"Vinson J, Vinson J-M. 1969. The saurian fauna of the Mascarene Islands. Mauritius Institute Bulletin, 6: 203-320.; Pough, F. H. (1980). The advantages of ectothermy for tetrapods. American Naturalist, 92-112.; Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	1, 2, 3, 4
Phelsuma cepediana	Gekkonidae	Squamata	Reptilia	5	0	1	Database	Morphology	Literature	0			Hansen	"Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	1, 2, 3, 4
Phelsuma comorensis	Gekkonidae	Squamata	Reptilia	3.3	0	1	Calculation	Morphology	Literature	0			Hansen	"Rocha, S., Roesler, H., Gehring, P. S., Glaw, F., Posada, D., Harris, D. J., & Vences, M. (2010). Phylogenetic systematics of day geckos, genus Phelsuma, based on molecular and morphological data (Squamata: Gekkonidae). Zootaxa, 2429, 1-28.; Pough, F. H. (1980). The advantages of ectothermy for tetrapods. American Naturalist, 92-112.; Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	1, 2, 3, 4
Phelsuma dubia	Gekkonidae	Squamata	Reptilia	8.05	0	1	Calculation	Morphology	Literature	0			Hansen	"Rocha, S., Roesler, H., Gehring, P. S., Glaw, F., Posada, D., Harris, D. J., & Vences, M. (2010). Phylogenetic systematics of day geckos, genus Phelsuma, based on molecular and morphological data (Squamata: Gekkonidae). Zootaxa, 2429, 1-28.; Pough, F. H. (1980). The advantages of ectothermy for tetrapods. American Naturalist, 92-112.; Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	1, 2, 3, 4
Phelsuma edwardnewtonii	Gekkonidae	Squamata	Reptilia	46.45932486	0	2	Calculation	Morphology	Literature	0			Hansen	"Vinson J, Vinson J-M. 1969. The saurian fauna of the Mascarene Islands. Mauritius Institute Bulletin, 6: 203-320.; Pough, F. H. (1980). The advantages of ectothermy for tetrapods. American Naturalist, 92-112.; Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	1, 2, 3, 4
Phelsuma gigas	Gekkonidae	Squamata	Reptilia	263.6158444	0	2	Calculation	Morphology	Literature	0			Hansen	"Vinson J, Vinson J-M. 1969. The saurian fauna of the Mascarene Islands. Mauritius Institute Bulletin, 6: 203-320.; Pough, F. H. (1980). The advantages of ectothermy for tetrapods. American Naturalist, 92-112.; Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	1, 2, 3, 4
Phelsuma guentheri	Gekkonidae	Squamata	Reptilia	74.61057363	0	1	Calculation	Morphology	Literature	0			Hansen	"Vinson J, Vinson J-M. 1969. The saurian fauna of the Mascarene Islands. Mauritius Institute Bulletin, 6: 203-320.; 92-112.; Pough, F. H. (1980). The advantages of ectothermy for tetrapods. American Naturalist, 92-112.; Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	1, 2, 3, 4
Phelsuma guimbeaui	Gekkonidae	Squamata	Reptilia	7.060438433	0	1	Calculation	Morphology	Literature	0			Hansen	"Vinson J, Vinson J-M. 1969. The saurian fauna of the Mascarene Islands. Mauritius Institute Bulletin, 6: 203-320.; Pough, F. H. (1980). The advantages of ectothermy for tetrapods. American Naturalist, 92-112.; Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	1, 2, 3, 4
Phelsuma inexpectata	Gekkonidae	Squamata	Reptilia	6.17367127	0	1	Calculation	Morphology	Literature	0			Hansen	"Vinson J, Vinson J-M. 1969. The saurian fauna of the Mascarene Islands. Mauritius Institute Bulletin, 6: 203-320.; Pough, F. H. (1980). The advantages of ectothermy for tetrapods. American Naturalist, 92-112.; Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	1, 2, 3, 4
Phelsuma laticauda	Gekkonidae	Squamata	Reptilia	5.07	0	1	Calculation	Morphology	Literature	0			Hansen	"Rocha, S., Roesler, H., Gehring, P. S., Glaw, F., Posada, D., Harris, D. J., & Vences, M. (2010). Phylogenetic systematics of day geckos, genus Phelsuma, based on molecular and morphological data (Squamata: Gekkonidae). Zootaxa, 2429, 1-28.; Pough, F. H. (1980). The advantages of ectothermy for tetrapods. American Naturalist, 92-112.; Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	1, 2, 3, 4
Phelsuma nigristriata	Gekkonidae	Squamata	Reptilia	2.59	0	1	Calculation	Morphology	Literature	0			Hansen	"Rocha, S., Roesler, H., Gehring, P. S., Glaw, F., Posada, D., Harris, D. J., & Vences, M. (2010). Phylogenetic systematics of day geckos, genus Phelsuma, based on molecular and morphological data (Squamata: Gekkonidae). Zootaxa, 2429, 1-28.; Pough, F. H. (1980). The advantages of ectothermy for tetrapods. American Naturalist, 92-112.; Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	1, 2, 3, 4
Phelsuma ornata	Gekkonidae	Squamata	Reptilia	3.69	0	1	Calculation	Morphology	Literature	0			Hansen	"Rocha, S., Roesler, H., Gehring, P. S., Glaw, F., Posada, D., Harris, D. J., & Vences, M. (2010). Phylogenetic systematics of day geckos, genus Phelsuma, based on molecular and morphological data (Squamata: Gekkonidae). Zootaxa, 2429, 1-28.; Pough, F. H. (1980). The advantages of ectothermy for tetrapods. American Naturalist, 92-112.; Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	1, 2, 3, 4
Phelsuma pasteuri	Gekkonidae	Squamata	Reptilia	3.91	0	1	Calculation	Morphology	Literature	0			Hansen	"Rocha, S., Roesler, H., Gehring, P. S., Glaw, F., Posada, D., Harris, D. J., & Vences, M. (2010). Phylogenetic systematics of day geckos, genus Phelsuma, based on molecular and morphological data (Squamata: Gekkonidae). Zootaxa, 2429, 1-28.;Pough, F. H. (1980). The advantages of ectothermy for tetrapods. American Naturalist, 92-112.; Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	1, 2, 3, 4
Phelsuma rosagularis	Gekkonidae	Squamata	Reptilia	3.373001316	0	1	Calculation	Morphology	Literature	0			Hansen	"Vinson J, Vinson J-M. 1969. The saurian fauna of the Mascarene Islands. Mauritius Institute Bulletin, 6: 203-320.; Pough, F. H. (1980). The advantages of ectothermy for tetrapods. American Naturalist, 92-112.; Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	1, 2, 3, 4
Phelsuma v-nigra	Gekkonidae	Squamata	Reptilia	2.59	0	1	Calculation	Morphology	Literature	0			Hansen	"Rocha, S., Roesler, H., Gehring, P. S., Glaw, F., Posada, D., Harris, D. J., & Vences, M. (2010). Phylogenetic systematics of day geckos, genus Phelsuma, based on molecular and morphological data (Squamata: Gekkonidae). Zootaxa, 2429, 1-28.; Pough, F. H. (1980). The advantages of ectothermy for tetrapods. American Naturalist, 92-112.; Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	1, 2, 3, 4
Phigys solitarius	Psittacidae	Psittaciformes	Aves	83.6	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Philemon albitorques	Meliphagidae	Passeriformes	Aves	102.3796296	1	1	Genus mean, decided by pe-existing database	Morphology	Estimate	1	"Genus mean ""Philemon"""		Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Philemon cockerelli	Meliphagidae	Passeriformes	Aves	154.5	1	1	Database	Morphology	Estimate	0			Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Philemon corniculatus	Meliphagidae	Passeriformes	Aves	100.85	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Philemon diemenensis	Meliphagidae	Passeriformes	Aves	66.4	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Pipilo maculatus	Emberizidae	Passeriformes	Aves	33.7	1	2	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Prosopeia personata	Psittacidae	Psittaciformes	Aves	322	1	2	Literature	Morphology	Database	0			Kissling	World Parrot Trust https://www.parrots.org/encyclopedia/masked-shining-parrot	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Prosopeia tabuensis	Psittacidae	Psittaciformes	Aves	232	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
